village,vlcode,district,landslide_count,rainfall_station,rainfall_distance_m,river_station,river_distance_m,highway,road_distance_m,mean_slope_deg
Than,046295,Pauri Garhwal,0,Srinagar_2,9900.1183670947,Rudraprayag_3,15086.091978729406,tertiary,0.0,
Bholnaon,041279,Chamoli,1,Nandprayag (Nandakini),15166.666413047298,Karnaprayag (P),5887.576318894885,unclassified,0.0,
Chamsera,045448,Pauri Garhwal,0,Srinagar_2,5044.120170276778,Rudraprayag_3,18642.63679148645,trunk,0.0,
Kothagi,042568,Rudra Prayag,0,Chandranagar_1,11573.497188139298,Rudraprayag_3,12366.202372727212,path,0.0,
Chorkandi,045567,Pauri Garhwal,0,Srinagar_2,8056.920003376609,Rudraprayag_3,9723.520564806422,unclassified,0.0,
Naisu Urf Pandai,045476,Pauri Garhwal,0,Srinagar_2,6886.811211241065,Rudraprayag_3,17839.90460415302,unclassified,173.9888912052953,
Lalisera,041325,Chamoli,0,Gairsain (Ramganga),17153.49239480837,Karnaprayag (P),6223.384486928716,unclassified,0.0,
Dungra,042400,Rudra Prayag,0,Chandranagar_1,14063.851332657438,Rudraprayag_3,2736.3997159466726,unclassified,0.0,
Barethi Patti Barsali,040499,Uttar Kashi,0,Joshiyara,2562.6123211405616,Tekhla,4815.500996632216,unclassified,0.0,
Kundela,041337,Chamoli,0,Nandprayag (Nandakini),12172.393026488713,Karnaprayag (P),310.9539949533558,tertiary,0.0,
Bamankhal,041245,Chamoli,2,Nandprayag (Nandakini),11227.275017293126,Karnaprayag (P),4659.219162681515,unclassified,0.0,
Gandhari,042493,Rudra Prayag,0,Chandranagar_1,9834.37793082714,Rudraprayag_3,7840.494278976941,path,61.00515113103517,
Maithana Lagga Semi,041252,Chamoli,0,Nandprayag (Nandakini),10331.544204501179,Karnaprayag (P),3699.263657202869,secondary,144.42120520822544,
Kot,043831,Tehri Garhwal,0,Doiwala (Bhogpur),27950.56047794451,Koteshwar,22789.856611161595,unclassified,0.0,
Chak Balsi,043889,Tehri Garhwal,0,Doiwala (Bhogpur),28577.497149783158,Koteshwar,16237.151480274717,secondary,0.0,
Gangwan Gaon,043851,Tehri Garhwal,0,Doiwala (Bhogpur),27670.760955522845,Koteshwar,19211.373993354293,trunk,0.0,
Godamu,043951,Tehri Garhwal,0,Doiwala (Bhogpur),26080.133817941954,Koteshwar,14116.2095560761,trunk,0.0,
Chak Pali,043887,Tehri Garhwal,0,Doiwala (Bhogpur),26786.673758037654,Koteshwar,15644.061683361662,secondary,0.0,
Salampur,043866,Tehri Garhwal,0,Doiwala (Bhogpur),24719.95723719128,Koteshwar,17965.674536261573,unclassified,0.0,
Mahar Gaon,043864,Tehri Garhwal,0,Doiwala (Bhogpur),26121.305047175454,Koteshwar,17355.576250960446,trunk,0.0,
Idiyan,043765,Tehri Garhwal,0,Joshiyara,26005.085644735642,Tekhla,28482.55891483155,unclassified,0.0,
Dharogi,043772,Tehri Garhwal,0,Joshiyara,24577.422042687904,Tekhla,27017.21452428232,trunk,0.0,
Badiya Sem,041988,Chamoli,0,Gairsain (Ramganga),7572.854636013427,Karnaprayag (P),31014.42306274049,trunk,0.0,
Lasyal Gaon,042792,Tehri Garhwal,1,Joshiyara,31810.731484764754,Koteshwar,30878.787234419047,unclassified,0.0,
Patiyon,042728,Rudra Prayag,0,Chandranagar_1,4971.604923806208,Rudraprayag_3,13916.702271831928,tertiary,88.3447216501664,
Ragdi Maya Sankari,042846,Tehri Garhwal,2,Sonprayag_1,24680.043670547086,Rudraprayag_3,32818.71283824385,residential,0.0,
Gangar,042904,Tehri Garhwal,0,Srinagar_2,28481.50107703767,Koteshwar,21914.794195999355,unclassified,0.0,
Dhargaon Urf Gehwali,042793,Tehri Garhwal,0,Joshiyara,31976.34696681064,Koteshwar,31403.52525128709,unclassified,0.0,
Mukhem Range,040601,Uttar Kashi,5,Joshiyara,9731.103064586905,Tekhla,9954.884643821362,secondary,0.0,
Nirakot,040792,Uttar Kashi,0,Joshiyara,3927.1091735360137,Tekhla,2375.101665818704,trunk,725.8357166525205,
Mando,040790,Uttar Kashi,0,Joshiyara,2881.338660760675,Tekhla,1014.0731990187247,unclassified,34.10161800274067,
Manpur,040799,Uttar Kashi,0,Joshiyara,6472.541477483437,Tekhla,5998.55235038984,secondary,0.0,
Sangrali,040775,Uttar Kashi,0,Joshiyara,1659.906822761916,Tekhla,348.03717062710393,unclassified,35.83240310530496,
Sari,040747,Uttar Kashi,0,Joshiyara,16262.93898691668,Tekhla,13600.047736331244,track,0.0,
Thela,042988,Tehri Garhwal,0,Srinagar_2,15684.879356592419,Rudraprayag_3,18887.452623873178,secondary,0.0,
Khor,042729,Rudra Prayag,0,Guptkashi_1,10095.175341450766,Rudraprayag_3,23991.02321181434,track,0.0,
Guna Kyark,042269,Rudra Prayag,0,Chandranagar_1,634.2799519613445,Rudraprayag_3,18259.22401017429,unclassified,0.0,
Jahangi,042293,Rudra Prayag,0,Chandranagar_1,2071.8941487676234,Rudraprayag_3,18147.432231132978,unclassified,499.3183963752658,
Ghanail,054111,Champawat,0,Rithakhal,9354.811741222373,Kheri_5,86416.85453998487,tertiary,8.19310577648306,
Jamu,042068,Rudra Prayag,1,Sonprayag_1,5159.351476503209,Rudraprayag_3,34268.5071371943,trunk,0.0,
Haripur Roopsingh,055503,Nainital,0,Nainital_1,13704.265521724832,Kheri_5,31257.57305499317,tertiary,0.0,
Kansola,040384,Uttar Kashi,0,Purola_1,11923.198476596504,Tekhla,30379.681728990632,unclassified,88.07434367128903,
Kanda,040307,Uttar Kashi,0,Purola_1,6653.183679644142,Tekhla,28947.791040704236,unclassified,0.0,
Bakulia,055585,Nainital,0,Haldwani_1,8010.741851654693,Kheri_5,65487.68638296404,service,0.0,
Kamaluwa Ganja Gaur,055159,Nainital,0,Haldwani_1,4040.9931049230768,Kheri_5,55963.635209891814,residential,0.0,
Gaujajali Dakhin,055574,Nainital,0,Haldwani_1,5049.640031122419,Kheri_5,62879.18592571696,service,0.0,
Haripur Lachhi,055614,Nainital,0,Haldwani_1,12607.250743070157,Kheri_5,67984.75615263142,service,0.0,
Raukher,054796,Nainital,0,Nainital_1,7112.592563659931,Kheri_5,35472.93746474109,unclassified,520.7490946799085,
Awala Khot,055504,Nainital,0,Nainital_1,13838.639767244593,Kheri_5,30657.738031720117,residential,0.0,
Bajotia,054745,Nainital,0,Mukteshwar_1,5545.458418939331,Kheri_5,49155.64532257427,primary,371.9754191735836,
Byura,055298,Nainital,0,Gola_1,1610.3728585312385,Kheri_5,56789.41565420553,secondary,0.0,
Chhati,052523,Almora,0,Nainital_1,12702.433215779529,Kheri_5,38535.29771407346,unclassified,0.0,
Dhari,054495,Nainital,0,Mukteshwar_1,11804.137936064471,Kheri_5,42338.47959504279,unclassified,0.0,
Dhweti,054746,Nainital,0,Mukteshwar_1,5786.462098013198,Kheri_5,48822.168294266245,primary,376.4908472721021,
Shalore,055047,Nainital,0,Rithakhal,19575.971715111147,Kheri_5,73165.30747730532,primary,0.0,
Timber,055043,Nainital,0,Gola_1,16698.69439037057,Kheri_5,70468.43919064655,unclassified,0.0,
Machhiyar,054093,Champawat,4,Champawat_1,17820.739641587326,Kheri_5,88761.43871953103,tertiary,0.0,
Matela,052497,Almora,0,Nainital_1,17404.28036273616,Marchula_1,33254.1507323059,tertiary,0.0,
Badauli,053877,Champawat,1,Champawat_1,7997.905556325695,Kheri_5,98926.40347331969,trunk,104.86362628875786,
Jamrari,053873,Champawat,0,Champawat_1,8710.740982293948,Kheri_5,95176.69681186114,unclassified,811.8852950480904,
Maitoli,054972,Nainital,0,Mukteshwar_1,11027.095848961724,Kheri_5,65494.40373326693,tertiary,13.865585544792152,
Deeni Mallee,054962,Nainital,0,Mukteshwar_1,9548.156831500075,Kheri_5,63428.549836648635,unclassified,255.89535795517077,
Bhaisarkh,054002,Champawat,0,Rithakhal,4546.43303331456,Kheri_5,78571.77326741989,primary,219.31708859991434,
Dol Bangla,053455,Almora,0,Lamgara,4874.126840250824,Kheri_5,65971.56317929972,tertiary,0.0,
Pipal Dhing,053970,Champawat,0,Rithakhal,693.0201499538513,Kheri_5,75850.56621720894,unclassified,0.0,
Khadiya Nauli,053511,Almora,0,Rithakhal,5620.839237131953,Marchula_1,74398.54998557134,tertiary,0.0,
Dhakna Badola,053805,Champawat,0,Champawat_1,613.4271210722395,Kheri_5,98201.14060485917,unclassified,0.0,
Kheti,054300,Champawat,0,Champawat_1,5475.095169507052,Kheri_5,101680.09555175462,tertiary,0.0,
